<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.02	20:00:00	1.30495	1.30766	1.30450	1.30538	4569	0	75
2011.01.03	00:00:00	1.30539	1.30651	1.30154	1.30194	7371	0	80
2011.01.03	04:00:00	1.30213	1.30423	1.30022	1.30316	12158	0	40
2011.01.03	08:00:00	1.30318	1.30830	1.30241	1.30807	15894	0	40
2011.01.03	12:00:00	1.30814	1.31272	1.30655	1.31073	21162	0	40
2011.01.03	16:00:00	1.31075	1.31294	1.30981	1.31272	11620	0	40
2011.01.03	20:00:00	1.31273	1.31504	1.31271	1.31402	6798	0	75
2011.01.04	00:00:00	1.31404	1.32266	1.31358	1.32187	11569	0	80
2011.01.04	04:00:00	1.32179	1.32822	1.32063	1.32521	18842	0	40
2011.01.04	08:00:00	1.32527	1.32880	1.32500	1.32741	19536	0	40
2011.01.04	12:00:00	1.32746	1.33245	1.32265	1.32468	24908	0	40
2011.01.04	16:00:00	1.32466	1.32622	1.32198	1.32219	15719	0	40
2011.01.04	20:00:00	1.32221	1.32400	1.32008	1.32086	7762	0	80
2011.01.05	00:00:00	1.32085	1.32513	1.32077	1.32481	10417	0	80
2011.01.05	04:00:00	1.32486	1.32711	1.32231	1.32483	19497	0	40
2011.01.05	08:00:00	1.32487	1.32651	1.32031	1.32210	21815	0	40
2011.01.05	12:00:00	1.32212	1.32249	1.31516	1.31656	26694	0	40
2011.01.05	16:00:00	1.31657	1.31696	1.31386	1.31525	15156	0	41
2011.01.05	20:00:00	1.31521	1.31618	1.31451	1.31575	7446	0	80
2011.01.06	00:00:00	1.31574	1.32004	1.31558	1.31797	10189	0	75
2011.01.06	04:00:00	1.31793	1.31847	1.31360	1.31404	16083	0	40
2011.01.06	08:00:00	1.31403	1.31570	1.31250	1.31322	18457	0	42
2011.01.06	12:00:00	1.31319	1.31552	1.30734	1.30818	22758	0	40
2011.01.06	16:00:00	1.30817	1.30906	1.30529	1.30898	14510	0	40
2011.01.06	20:00:00	1.30900	1.30929	1.30547	1.30924	9628	0	80
2011.01.07	00:00:00	1.30921	1.30940	1.30709	1.30715	10236	0	76
2011.01.07	04:00:00	1.30714	1.30960	1.30708	1.30844	16880	0	40
2011.01.07	08:00:00	1.30846	1.31024	1.30548	1.30665	19370	0	40
2011.01.07	12:00:00	1.30666	1.30996	1.29827	1.29997	28278	0	41
2011.01.07	16:00:00	1.29996	1.30127	1.29447	1.29516	15236	0	40
2011.01.07	20:00:00	1.29515	1.29623	1.29416	1.29572	1781	0	80
2011.01.09	20:00:00	1.29620	1.29671	1.29293	1.29370	4310	0	80
2011.01.10	00:00:00	1.29369	1.29627	1.29288	1.29562	9043	0	80
2011.01.10	04:00:00	1.29582	1.30204	1.29570	1.30192	16435	0	40
2011.01.10	08:00:00	1.30194	1.30641	1.30089	1.30269	21035	0	48
2011.01.10	12:00:00	1.30269	1.30594	1.30192	1.30252	24515	0	43
2011.01.10	16:00:00	1.30269	1.30349	1.29899	1.30019	12855	0	43
2011.01.10	20:00:00	1.30018	1.30579	1.29914	1.30538	8307	0	80
2011.01.11	00:00:00	1.30542	1.31473	1.30542	1.31440	14643	0	80
2011.01.11	04:00:00	1.31439	1.31716	1.31318	1.31456	18965	0	40
2011.01.11	08:00:00	1.31455	1.31486	1.31248	1.31435	21145	0	40
2011.01.11	12:00:00	1.31439	1.31484	1.31099	1.31420	24881	0	40
2011.01.11	16:00:00	1.31423	1.31523	1.31272	1.31398	14660	0	40
2011.01.11	20:00:00	1.31403	1.32254	1.31316	1.31843	10388	0	80
2011.01.12	00:00:00	1.31844	1.32003	1.31797	1.31866	10670	0	80
2011.01.12	04:00:00	1.31867	1.31917	1.31240	1.31367	17777	0	40
2011.01.12	08:00:00	1.31367	1.31518	1.31011	1.31154	22787	0	40
2011.01.12	12:00:00	1.31154	1.31575	1.30822	1.31510	23202	0	40
2011.01.12	16:00:00	1.31510	1.32050	1.31428	1.31891	18484	0	40
2011.01.12	20:00:00	1.31893	1.32158	1.31555	1.32042	9385	0	80
2011.01.13	00:00:00	1.32044	1.32062	1.31634	1.31702	9834	0	80
2011.01.13	04:00:00	1.31705	1.32122	1.31598	1.32057	17376	0	40
2011.01.13	08:00:00	1.32058	1.32094	1.31705	1.32028	22056	0	40
2011.01.13	12:00:00	1.32027	1.33753	1.31917	1.33582	25738	0	40
2011.01.13	16:00:00	1.33581	1.34059	1.33505	1.33988	15451	0	40
2011.01.13	20:00:00	1.33985	1.34012	1.33575	1.33811	8612	0	80
2011.01.14	00:00:00	1.33812	1.33944	1.33720	1.33923	9056	0	80
2011.01.14	04:00:00	1.33926	1.34999	1.33804	1.34894	18412	0	40
2011.01.14	08:00:00	1.34893	1.35370	1.34671	1.35232	21863	0	40
2011.01.14	12:00:00	1.35233	1.35491	1.34730	1.34797	24381	0	40
2011.01.14	16:00:00	1.34798	1.35179	1.34682	1.35096	14122	0	40
2011.01.14	20:00:00	1.35090	1.35374	1.35082	1.35361	1602	0	80
2011.01.16	20:00:00	1.34980	1.35148	1.34850	1.35038	4034	0	80
2011.01.17	00:00:00	1.35037	1.35126	1.34897	1.34990	7922	0	80
