<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.59928	1.60042	1.59847	1.60041	3636	0	15
2020.01.02	04:00:00	1.60042	1.60169	1.59928	1.60116	4857	0	15
2020.01.02	08:00:00	1.60116	1.60223	1.59998	1.60128	6452	0	15
2020.01.02	12:00:00	1.60125	1.60175	1.59746	1.59946	7615	0	15
2020.01.02	16:00:00	1.59946	1.60129	1.59891	1.59929	6033	0	15
2020.01.02	20:00:00	1.59929	1.60000	1.59730	1.59956	3313	0	15
2020.01.03	00:00:00	1.59956	1.60438	1.59948	1.60320	6549	0	15
2020.01.03	04:00:00	1.60321	1.60486	1.60259	1.60379	6209	0	15
2020.01.03	08:00:00	1.60377	1.60621	1.60304	1.60544	7653	0	15
2020.01.03	12:00:00	1.60545	1.60587	1.60267	1.60497	8073	0	15
2020.01.03	16:00:00	1.60494	1.60598	1.60402	1.60481	5667	0	15
2020.01.03	20:00:00	1.60479	1.60520	1.60469	1.60506	1015	0	15
2020.01.05	20:00:00	1.60814	1.60950	1.60712	1.60726	1831	0	37
2020.01.06	00:00:00	1.60724	1.60906	1.60493	1.60836	5975	0	15
2020.01.06	04:00:00	1.60836	1.60945	1.60672	1.60739	5265	0	15
2020.01.06	08:00:00	1.60737	1.61266	1.60627	1.61247	7321	0	15
2020.01.06	12:00:00	1.61248	1.61507	1.61015	1.61382	7292	0	15
2020.01.06	16:00:00	1.61377	1.61465	1.61270	1.61395	4804	0	15
2020.01.06	20:00:00	1.61395	1.61429	1.61248	1.61385	3337	0	15
2020.01.07	00:00:00	1.61382	1.61537	1.61312	1.61346	4832	0	15
2020.01.07	04:00:00	1.61347	1.61969	1.61346	1.61928	6324	0	15
2020.01.07	08:00:00	1.61928	1.62699	1.61790	1.62603	7811	0	15
2020.01.07	12:00:00	1.62602	1.62604	1.62120	1.62209	8235	0	15
2020.01.07	16:00:00	1.62207	1.62380	1.62172	1.62244	5243	0	15
2020.01.07	20:00:00	1.62243	1.62724	1.62222	1.62596	4656	0	15
2020.01.08	00:00:00	1.62597	1.62915	1.62104	1.62323	10281	0	15
