<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.05	02:00:00	1.32424	1.32441	1.32315	1.32332	1437	0	80
2011.01.05	03:00:00	1.32333	1.32513	1.32308	1.32481	2586	0	80
2011.01.05	04:00:00	1.32486	1.32546	1.32370	1.32443	3670	0	40
2011.01.05	05:00:00	1.32444	1.32711	1.32403	1.32595	4101	0	40
2011.01.05	06:00:00	1.32594	1.32594	1.32264	1.32285	5258	0	41
2011.01.05	07:00:00	1.32284	1.32517	1.32231	1.32483	6468	0	42
2011.01.05	08:00:00	1.32487	1.32651	1.32293	1.32330	5409	0	42
2011.01.05	09:00:00	1.32330	1.32383	1.32170	1.32242	5548	0	40
2011.01.05	10:00:00	1.32239	1.32269	1.32031	1.32244	5385	0	42
2011.01.05	11:00:00	1.32249	1.32366	1.32120	1.32210	5473	0	42
2011.01.05	12:00:00	1.32212	1.32249	1.31851	1.31863	6623	0	40
2011.01.05	13:00:00	1.31866	1.31957	1.31684	1.31770	6946	0	40
2011.01.05	14:00:00	1.31775	1.31880	1.31568	1.31713	6749	0	40
2011.01.05	15:00:00	1.31714	1.31764	1.31516	1.31656	6376	0	40
2011.01.05	16:00:00	1.31657	1.31696	1.31577	1.31647	4887	0	41
2011.01.05	17:00:00	1.31648	1.31668	1.31477	1.31512	4313	0	42
2011.01.05	18:00:00	1.31511	1.31601	1.31386	1.31505	3296	0	80
2011.01.05	19:00:00	1.31511	1.31622	1.31437	1.31525	2660	0	80
2011.01.05	20:00:00	1.31521	1.31618	1.31451	1.31535	1887	0	80
2011.01.05	21:00:00	1.31531	1.31589	1.31490	1.31532	1203	0	80
2011.01.05	22:00:00	1.31542	1.31581	1.31462	1.31549	1291	0	80
2011.01.05	23:00:00	1.31548	1.31595	1.31453	1.31575	3065	0	80
2011.01.06	00:00:00	1.31574	1.31761	1.31558	1.31688	2933	0	80
2011.01.06	01:00:00	1.31686	1.31960	1.31599	1.31945	2508	0	75
2011.01.06	02:00:00	1.31950	1.32004	1.31838	1.31867	2986	0	80
2011.01.06	03:00:00	1.31868	1.31905	1.31792	1.31797	1762	0	80
2011.01.06	04:00:00	1.31793	1.31847	1.31681	1.31727	2807	0	40
2011.01.06	05:00:00	1.31730	1.31760	1.31664	1.31720	3059	0	41
2011.01.06	06:00:00	1.31719	1.31814	1.31461	1.31471	4998	0	42
2011.01.06	07:00:00	1.31470	1.31521	1.31360	1.31404	5219	0	42
2011.01.06	08:00:00	1.31403	1.31570	1.31316	1.31413	4601	0	42
